date,open,high,low,close,volume
2017-04-18,100.25,100.6725,99.962,100.2692,658740
2017-04-19,100.298,100.3749,99.2994,99.7123,531951
2017-04-20,99.5971,99.5971,98.6464,99.3282,904558
2017-04-21,99.2898,100.2596,99.2898,99.8179,1639941
2017-04-24,100.01,100.3173,99.4626,100.298,973765
2017-04-25,99.9332,100.3749,99.6931,100.1348,872910
2017-04-26,99.9043,100.9797,99.8755,100.2884,1225574
2017-04-27,100.5189,101.604,100.2116,100.8934,1330777
2017-04-28,100.8166,100.8838,100.1252,100.4325,840169
2017-05-01,100.5957,100.5957,99.4434,99.8083,480587
2017-05-02,100.01,100.3749,99.7123,100.1156,640513
2017-05-03,99.9524,100.2404,99.6739,99.7123,478813
2017-05-04,99.6547,100.1348,99.1755,100.0484,953256
2017-05-05,100.3076,100.9702,100.1348,100.3845,673194
2017-05-08,100.5957,100.5957,99.7027,100.3365,511571
2017-05-09,100.3269,100.3461,99.6547,99.8371,564743
2017-05-10,99.8563,100.4661,99.8179,100.4613,643366
2017-05-11,100.058,100.6053,99.7123,100.5957,546932
2017-05-12,100.6533,101.2391,100.6341,101.2295,522014
2017-05-15,101.1335,101.796,100.9318,101.7384,664993
2017-05-16,101.6424,101.9305,100.4901,100.6341,534225
2017-05-17,100.7878,101.508,100.6533,100.9894,627255
2017-05-18,101.3447,101.9833,100.4325,101.1527,697751
2017-05-19,101.2391,101.8921,100.4517,101.8152,892117
2017-05-22,101.748,102.8619,101.724,102.7851,762657
2017-05-23,102.7467,103.947,102.6987,103.102,805424
2017-05-24,103.0156,103.6589,102.9867,103.6301,540644
2017-05-25,103.7453,104.744,103.3228,104.648,688125
2017-05-26,104.2063,104.84,104.1775,104.552,454850
2017-05-30,104.552,105.1377,104.1006,104.8112,871745
2017-05-31,104.8784,105.5218,104.8208,105.1665,991683
2017-06-01,105.0321,106.0787,104.552,106.0211,653913
2017-06-02,106.7605,106.7605,105.9059,106.5205,574503
2017-06-05,106.2132,106.4869,105.7043,105.8291,640754
2017-06-06,106.1364,106.2612,105.5986,105.7811,539838
2017-06-07,106.0595,106.4725,105.7043,106.2324,608309
2017-06-08,105.9635,106.2708,104.091,104.648,1335220
2017-06-09,104.3407,104.7632,103.9662,104.648,807481
2017-06-12,104.8496,105.1569,103.7165,104.6384,740200
2017-06-13,104.5231,105.0993,104.2255,105.0609,446968
2017-06-14,105.7235,106.242,105.589,106.098,761435
2017-06-15,106.1028,107.08,105.6481,106.9639,880845
2017-06-16,107.3025,107.6218,107.0509,107.5734,1364240
2017-06-19,107.5444,107.5444,106.7704,107.2928,756604
2017-06-20,107.2638,107.7282,107.1864,107.4089,763475
2017-06-21,107.3992,107.5153,105.8319,106.5479,759945
2017-06-22,106.4608,106.693,105.9964,106.0157,733180
2017-06-23,105.919,106.3737,105.1837,105.3482,1019651
2017-06-26,105.4546,106.6543,105.0096,105.8416,651896
2017-06-27,105.474,105.7981,104.0034,104.1679,743066
2017-06-28,104.6226,104.7774,102.7263,102.7844,1209785
2017-06-29,102.3103,102.8328,101.7105,102.4748,1301762
2017-06-30,102.765,103.2391,102.291,102.349,1047556
2017-07-03,102.6006,102.8908,102.0104,102.1072,621628
2017-07-05,102.2136,102.3587,101.4589,102.0104,1153936
2017-07-06,101.7685,101.9814,101.4396,101.7492,945801
2017-07-07,101.933,102.3393,101.7298,101.8363,726059
2017-07-10,102.0975,102.32,101.488,101.517,865696
2017-07-11,101.5847,101.7879,100.8011,101.2751,1065709
2017-07-12,102.1072,102.4071,101.8363,102.1555,683985
2017-07-13,101.9427,102.3587,101.3912,101.4783,697325
2017-07-14,102.0878,102.4264,101.7492,101.962,510882
2017-07-17,101.9524,102.7263,101.5605,102.6296,865161
2017-07-18,102.7457,102.8231,102.1846,102.3103,1566723
2017-07-19,102.4071,102.6586,101.8556,102.4941,801014
2017-07-20,102.8521,103.4519,102.6102,103.2971,1309114
2017-07-21,103.2584,104.4388,103.0891,104.4291,680568
2017-07-24,104.4581,104.4581,102.9102,102.9102,954154
2017-07-25,102.9876,103.1133,102.2619,102.8424,941226
2017-07-26,103.5197,104.4871,102.3587,103.8873,959441
2017-07-27,103.8583,103.955,103.0166,103.8583,1198057
2017-07-28,103.8776,103.9744,103.0359,103.2488,639133
2017-07-31,103.3068,103.7809,102.8908,103.5777,859985
2017-08-01,103.8099,103.9357,103.0746,103.51,1245724
2017-08-02,103.0553,104.1001,102.7022,104.1001,762238
2017-08-03,103.7615,105.3482,103.7615,105.3288,777206
2017-08-04,105.0192,105.4449,104.6516,105.3966,797721
2017-08-07,105.3772,105.4449,104.9999,105.3869,514997
2017-08-08,105.2321,105.8706,105.1116,105.8416,481478
2017-08-09,106.1899,106.1899,104.9805,104.9999,563157
2017-08-10,104.9805,105.5901,104.6323,105.5127,618206
2017-08-11,105.7255,105.7255,104.0131,104.3614,590537
2017-08-14,104.5452,105.503,104.4871,105.503,534291
2017-08-15,105.1644,105.9625,105.1644,105.6191,713905
2017-08-16,105.7932,106.3253,105.5901,106.306,666073
2017-08-17,106.2963,106.7607,106.1899,106.3253,759085
2017-08-18,106.2479,107.3992,106.0351,107.0316,1398946
2017-08-21,107.1767,107.3992,106.9058,107.2831,555276
2017-08-22,107.4089,107.796,107.138,107.7475,455189
2017-08-23,107.7088,108.299,107.3509,108.2506,499901
2017-08-24,108.1926,108.5022,108.0281,108.1055,463945
2017-08-25,108.27,108.5892,107.8733,107.8733,736733
2017-08-28,108.0571,108.6956,108.0571,108.4925,552087
2017-08-29,108.6376,108.9182,108.3764,108.4635,511991
2017-08-30,108.357,108.7343,108.0378,108.328,498531
2017-08-31,108.4151,108.8214,108.0281,108.6666,631278
2017-09-01,108.8408,108.9278,108.2313,108.4731,432132
2017-09-05,108.5699,109.131,108.3474,109.102,579268
2017-09-06,109.3245,109.3245,107.9894,108.0474,1025953
2017-09-07,108.3087,108.6376,107.8346,108.2216,730518
2017-09-08,108.1926,109.2858,107.9604,109.1697,657402
2017-09-11,109.0826,110.0114,108.744,109.8179,441544
2017-09-12,109.46,109.7405,107.4863,107.6701,625452
2017-09-13,107.6798,107.6798,106.6446,106.6446,961982
2017-09-14,106.5672,107.9797,106.4221,107.9507,825875
2017-09-15,108.248,108.7061,107.7899,108.6281,1369971
2017-09-18,108.5794,108.6671,107.1076,107.7314,895323
2017-09-19,107.6534,107.7217,106.9029,107.3903,757189
2017-09-20,107.6924,107.8679,105.6261,106.1232,1285815
2017-09-21,106.1232,106.6885,105.8893,106.2596,589340
2017-09-22,106.4546,106.4838,105.4312,105.6359,634925
2017-09-25,105.5481,107.0004,105.4604,106.9614,703029
2017-09-26,106.825,107.1466,106.1427,106.7567,953103
2017-09-27,106.0939,106.4741,104.1196,104.5247,776944
2017-09-28,104.3298,105.1388,103.5208,104.9341,865965
2017-09-29,104.7391,105.3532,104.3615,104.6417,884040
2017-10-02,105.0315,105.168,104.4224,104.6514,839183
2017-10-03,104.5247,104.5247,103.5208,103.9009,854556
2017-10-04,103.9789,104.8756,103.6572,104.8269,1410209
2017-10-05,104.9633,105.5384,104.3736,105.0218,1014617
2017-10-06,104.7294,105.324,104.2226,104.9536,737120
2017-10-09,105.1583,105.3532,104.9243,105.1972,483104
2017-10-10,105.2655,106.6203,105.015,106.5228,844465
2017-10-11,106.5618,107.3903,106.4351,106.9224,727832
2017-10-12,107.1369,107.9263,106.5326,107.8679,700534
2017-10-13,108.1798,108.5989,106.9907,107.1076,929564
2017-10-16,106.8737,107.4488,106.4741,106.8542,923152
2017-10-17,106.8542,107.5852,106.5618,107.3708,1095907
2017-10-18,107.1758,107.7899,106.7762,107.7509,925187
2017-10-19,107.9263,109.3006,107.3415,109.3006,885839
2017-10-20,109.1544,109.4956,108.7061,109.3981,987584
2017-10-23,109.8075,110.402,109.135,110.1876,1244680
2017-10-24,109.6808,110.1194,108.8425,109.8465,1808523
2017-10-25,109.8465,110.1096,105.7918,107.9848,2416725
2017-10-26,108.4039,109.3299,107.2538,107.3318,1365620
2017-10-27,107.4,108.3942,107.1661,108.0238,872029
2017-10-30,107.9946,108.0628,107.2051,107.5462,914059
2017-10-31,107.3318,108.1115,106.9029,107.6632,1014668
2017-11-01,108.131,108.7841,106.8055,107.4877,1301739
2017-11-02,107.6242,108.209,107.1564,107.9946,1685129
2017-11-03,107.8289,109.2714,107.7119,108.092,1329681
2017-11-06,108.5014,109.3786,107.5365,108.7548,1036420
2017-11-07,108.8815,110.1876,108.5307,109.9537,846931
2017-11-08,109.788,110.5093,109.5833,110.3241,744111
2017-11-09,110.0804,110.6555,109.9537,110.3533,532447
2017-11-10,109.8952,110.0804,109.3494,109.6028,636042
2017-11-13,109.866,111.4352,109.6515,111.3475,1108862
2017-11-14,110.9381,112.7705,110.8017,112.6535,700434
2017-11-15,112.8972,113.2676,111.4937,111.5717,720251
2017-11-16,111.5911,111.7666,110.9674,111.1038,811617
2017-11-17,110.7627,111.1915,109.7003,110.0609,970662
2017-11-20,110.1194,110.48,109.1642,109.3884,739488
2017-11-21,109.788,109.9244,109.4468,109.788,797936
2017-11-22,109.7685,110.0853,109.3591,109.7685,1040007
2017-11-24,109.9732,110.5336,109.7587,109.7977,181970
2017-11-27,109.6515,110.9868,109.6515,110.7627,1511386
2017-11-28,110.9868,111.4644,110.7237,111.4449,724603
2017-11-29,111.2208,112.5171,110.8699,111.6594,1044878
2017-11-30,111.7763,112.9167,111.2695,112.6438,1112754
2017-12-01,113.0629,113.4528,111.7179,112.2929,673516
2017-12-04,112.5951,113.7842,112.0298,112.6048,1356353
2017-12-05,112.5171,112.6682,110.3728,111.4547,891566
2017-12-06,111.7763,112.2344,111.2305,112.0882,1113099
2017-12-07,112.0395,112.176,111.5619,112.1565,885132
2017-12-08,111.9128,112.6243,111.6204,112.5658,1307564
2017-12-11,112.3611,113.121,111.8933,113.0532,677110
2017-12-12,113.0629,113.3456,111.0453,111.1233,1073410
2017-12-13,111.25,111.5843,110.7627,110.9381,796691
2017-12-14,110.4118,111.2792,109.9049,110.7432,768176
2017-12-15,111.6002,111.9833,110.7063,111.2269,1743731
2017-12-18,111.2859,111.6788,108.8498,109.1936,931746
2017-12-19,109.1936,109.3409,107.0227,107.0816,929187
2017-12-20,107.0816,107.7005,106.2859,106.335,863373
2017-12-21,105.8144,106.6985,105.6769,106.335,710465
2017-12-22,106.4922,106.9637,106.2368,106.7967,693030
2017-12-26,106.5904,107.3272,106.1681,106.2172,602932
2017-12-27,106.4136,106.8262,106.227,106.8164,465720
2017-12-28,107.0227,107.7397,106.8655,107.671,825829
2017-12-29,107.8183,108.1523,107.2486,107.5236,633876
2018-01-02,107.7397,108.5354,106.4333,106.5315,988693
2018-01-03,106.3547,107.17,105.4411,106.1877,1146526
2018-01-04,105.7064,106.5757,104.341,104.4195,928716
2018-01-05,104.8223,104.9893,103.7221,104.3213,1242687
2018-01-08,104.4785,105.1465,104.2722,105.0875,685613
2018-01-09,104.6651,105.0777,103.6533,103.8105,871656
2018-01-10,103.5256,103.6926,102.0031,102.7889,2099245
2018-01-11,102.8577,103.2506,101.8459,102.0915,944149
2018-01-12,103.064,103.064,101.394,102.0816,1314333
2018-01-16,102.3076,102.8086,101.1484,102.2978,2204387
2018-01-17,102.6023,102.671,101.6887,102.2486,1297993
2018-01-18,102.4746,102.4746,101.0404,101.6396,1137119
2018-01-19,101.5414,102.0522,101.0207,101.3253,1229410
2018-01-22,101.7477,102.3272,101.3154,101.5316,1096743
2018-01-23,101.5905,103.1425,101.5414,102.8184,1178769
2018-01-24,102.73,103.1622,102.1602,102.5826,1554327
2018-01-25,102.4647,104.1248,102.3764,104.0856,1061670
2018-01-26,104.1543,104.3606,102.6612,103.6337,1125294
2018-01-29,103.1327,103.2015,102.1995,102.5433,2646949
2018-01-30,102.229,103.005,101.9736,102.396,1207515
2018-01-31,102.4844,103.8793,102.0129,103.7712,1338670
2018-02-01,103.8891,104.4687,101.8164,102.3763,2827492
2018-02-02,101.8754,102.2683,101.1092,101.453,2009781
2018-02-05,101.1976,102.2585,99.9206,100.1956,1872602
2018-02-06,99.0561,99.0856,95.9324,97.6023,3112835
2018-02-07,97.5335,98.7713,97.288,97.5139,1157299
2018-02-08,97.288,98.6631,96.7379,96.7477,1973527
2018-02-09,97.0227,100.0581,96.9049,99.2722,1462049
2018-02-12,99.4392,99.7634,98.2899,99.4589,1572728
2018-02-13,99.2722,100.5836,98.6239,100.4019,957695
2018-02-14,99.783,100.1858,98.84,99.4392,950154
2018-02-15,99.7339,101.4039,99.6062,101.3253,987439
2018-02-16,100.9127,103.6926,100.7162,103.3586,1716854
2018-02-20,103.1917,103.8302,101.0699,101.3744,1398798
2018-02-21,101.3744,102.2781,100.0777,100.0974,978278
2018-02-22,100.5099,101.1092,99.6946,100.0581,1027054
2018-02-23,100.1367,102.8478,100.0679,102.8478,1053904
2018-02-26,103.0934,103.2064,101.7477,101.9245,924565
2018-02-27,102.1799,102.838,100.2054,100.2251,2119624
2018-02-28,100.3921,100.5492,98.9383,98.9972,2176531
2018-03-01,99.066,100.2545,98.2899,98.9481,1039571
2018-03-02,98.9284,100.1072,98.0542,99.007,876094
2018-03-05,98.8891,100.9029,98.4471,100.7555,1063160
2018-03-06,100.618,100.6868,98.899,99.4098,824643
2018-03-07,99.0954,99.6603,97.7595,98.1524,1125535
2018-03-08,98.3882,99.0267,98.0935,98.6239,860295
2018-03-09,98.5944,98.8106,97.8282,98.7516,1466819
2018-03-12,98.5846,99.9599,98.506,99.1249,1537614
2018-03-13,99.5178,99.7143,98.5552,99.1445,1263972
2018-03-14,99.2722,100.1268,99.0954,99.9697,940547
2018-03-15,100.1956,100.6573,99.3803,99.9206,1690963
2018-03-16,100.2302,101.5977,100.0321,101.3401,3391414
2018-03-19,101.1815,101.9742,100.6266,101.2608,1612157
2018-03-20,101.3599,101.8751,100.3194,101.2211,1820887
2018-03-21,101.568,102.7868,101.1419,101.5977,1153534
2018-03-22,101.4986,103.7777,101.4986,101.6175,1992659
2018-03-23,101.7761,102.6282,100.0618,100.1708,779145
2018-03-26,100.4879,101.5085,100.4185,101.1914,595207
2018-03-27,101.2608,103.966,101.023,102.8661,707262
2018-03-28,103.1435,103.748,102.4846,103.0543,861029
2018-03-29,103.0741,104.2304,103.0741,103.4507,592441
2018-04-02,103.7281,104.5308,102.222,102.7273,981430
2018-04-03,102.7075,103.6588,102.3111,103.4705,1054110
2018-04-04,103.2822,103.3764,101.9346,102.9453,954323
2018-04-05,103.0345,104.0551,101.6274,103.6786,1000902
2018-04-06,103.7182,104.0452,102.7818,103.1138,879270
2018-04-09,103.1138,104.0651,102.6877,103.3912,1113065
2018-04-10,103.5597,103.6786,102.4301,102.6183,716728
2018-04-11,102.5192,103.094,101.9742,102.4003,425071
2018-04-12,102.5688,102.7174,100.8942,101.1716,609546
2018-04-13,101.2905,101.9049,101.241,101.5085,636358
2018-04-16,101.7265,102.767,101.3302,102.6679,965643
2018-04-17,102.7075,103.7876,102.3508,103.5399,543185
2018-04-18,103.6092,104.2434,102.9949,103.0642,904159
2018-04-19,102.8661,103.2178,102.113,102.7967,809420
2018-04-20,102.7471,102.7967,101.35,101.7959,1202489
2018-04-23,101.9445,102.7967,101.8553,102.3904,1155170
2018-04-24,102.7273,103.9858,101.6771,103.2525,1829601
2018-04-25,102.3211,104.0452,101.0824,103.0642,1121993
2018-04-26,102.9552,104.0353,102.2814,103.8768,806854
2018-04-27,103.5993,105.274,103.5993,104.6893,1406821
2018-04-30,104.7191,105.0758,104.0353,104.4416,1847263
2018-05-01,104.293,104.4416,103.7678,104.0452,1799508
2018-05-02,104.0452,104.4961,103.0246,103.7975,1311319
2018-05-03,103.8768,104.0948,102.4152,103.6489,1046249
2018-05-04,103.6588,104.1296,103.3417,103.7281,899169
2018-05-07,103.5696,103.5845,102.8066,103.203,1125046
2018-05-08,102.9552,102.9552,99.8537,100.1807,1354288
2018-05-09,100.2203,100.4086,98.8132,99.3285,851406
2018-05-10,100.0122,100.4482,99.4474,100.4086,757379
2018-05-11,100.7158,101.781,100.4334,101.5184,1352263
2018-05-14,101.5977,101.9445,100.5771,101.3599,1511818
2018-05-15,100.8149,101.1815,99.8933,100.5473,1750607
2018-05-16,100.6266,100.6266,99.1402,99.5564,859184
2018-05-17,99.5069,99.933,98.0998,98.4169,1533146
2018-05-18,98.7042,99.5267,98.3178,99.0114,1197993
2018-05-21,99.0709,99.3582,98.2088,99.061,852629
2018-05-22,99.0511,100.0222,98.8926,99.2096,875364
2018-05-23,99.5663,100.6067,99.388,100.5077,972390
2018-05-24,100.7951,101.5234,100.2897,101.2013,1567908
2018-05-25,101.2905,101.9445,101.0923,101.2509,1013920
2018-05-29,101.2112,102.0981,100.6266,101.1716,1060155
2018-05-30,101.0527,101.8454,100.7059,101.5184,1009631
2018-05-31,101.4391,102.1031,100.8,101.4986,1597157
2018-06-01,101.4292,101.5481,99.9231,100.1113,1065492
2018-06-04,100.3492,100.8446,99.0808,99.1303,1184905
2018-06-05,98.9718,99.2691,98.08,98.3872,1066126
2018-06-06,98.3772,98.407,95.8901,96.0585,1282075
2018-06-07,95.7216,97.1089,95.3352,96.1576,1285393
2018-06-08,96.4153,96.5738,95.682,96.0883,1063844
2018-06-11,95.2361,96.1081,93.3955,93.8389,2335861
2018-06-12,93.9578,95.8207,93.938,95.6126,1567216
2018-06-13,95.9297,96.2765,95.0082,95.2063,1253509
2018-06-14,95.3946,96.4549,95.1667,96.1675,1232869
2018-06-15,96.05,97.15,95.4,97.06,2361274
2018-06-18,97.11,97.78,96.8751,97.4,961825
2018-06-19,97.39,99.13,97.3,99.1,1816189
2018-06-20,98.91,99.47,97.86,99.29,1878128
2018-06-21,99.23,100.25,99.08,100.07,2489111
2018-06-22,100.14,100.68,99.93,100.45,1265762
2018-06-25,100.67,103.04,100.49,102.79,1974484
2018-06-26,102.65,103.99,102.56,103.2,1606411
2018-06-27,103.03,104.63,102.94,104.18,1417839
2018-06-28,104.46,105.13,103.59,103.94,1297599
2018-06-29,104.03,104.33,103.0,103.63,1161919
2018-07-02,103.74,104.67,103.47,104.59,1349735
2018-07-03,104.53,105.57,104.16,105.02,617318
2018-07-05,105.25,106.41,104.88,106.33,1190683
2018-07-06,106.34,107.165,106.191,107.03,936387
2018-07-09,106.95,106.95,102.73,103.15,1222644
2018-07-10,102.77,104.55,101.88,104.0,1294450
2018-07-11,104.42,105.88,104.27,105.66,1131461
2018-07-12,105.83,106.15,105.25,105.92,974009
2018-07-13,105.98,106.28,105.37,106.19,1004766
2018-07-16,106.01,106.63,105.55,106.3,1151369
2018-07-17,106.55,106.76,106.19,106.38,883639
2018-07-18,106.12,106.54,105.55,106.06,744955
2018-07-19,106.22,107.8,106.22,107.37,1083570
2018-07-20,106.95,107.27,105.7,106.6,1006353
2018-07-23,106.86,107.02,105.8,106.43,926325
2018-07-24,105.71,107.01,104.81,106.72,1507742
2018-07-25,107.99,109.57,107.48,108.3,1939447
2018-07-26,109.02,109.62,108.31,108.82,1244391
2018-07-27,108.82,109.66,108.21,108.61,979074
2018-07-30,108.5,108.53,107.36,107.78,1290020
2018-07-31,108.32,108.88,107.64,108.54,2062133
2018-08-01,107.76,107.9,106.27,107.84,1919410
2018-08-02,107.77,108.9,107.14,108.7,839689
2018-08-03,108.71,110.18,108.14,110.1,1055349
